Questions
"If you could be any age for the rest of your life, which would you choose? "
"If you could only wear one color for the rest of your life, which one would you choose? "
"If you could design a video game about anything, what topic would you choose? "
"If you could describe our friendship in three words, what would they be? "
Would you rather be in a cartoon or have an artist paint your picture? 
"If you could get rid of one veggie immediately, which one would you choose? "
What is the weirdest food combination you enjoy? 
What is your favorite cheesy pick-up line? 
"If you had to get a tattoo today, what would you get? "
What fictional character would you most like to be friends with? 
What is the most fascinating fact you know? 
"If you found out you were going to die tomorrow, what would you do today? "
What is the most unexpected piece of advice you ever received? 
"If you could ask your future self one question, what would it be? "
"If you could tell your past self one thing, what would it be? "
"If you could ask one question to an all-knowing being, what would it be? "
What is the strangest coincidence that ever happened to you? 
"If you could only eat one food for the rest of your life, what would it be? "
"What is a story you love to tell, but hardly ever get a chance to? "
"If you could watch any movie again for the first time, what would you watch?"
